1 MAIN ST E	VERIFY - NO QUAD MATCH (Bessemer)	487
1 MEADOW LN	COUNTY NO FD	487
1 METROPLEX DR	HOMEWOOD_FD	467
1 METROPLEX DR 100	VERIFY - NO QUAD MATCH (Homewood)	467
1 METROPLEX DR 160	VERIFY - NO QUAD MATCH (Homewood)	467
1 METROPLEX DR 200	VERIFY - NO QUAD MATCH (Homewood)	467
1 METROPLEX DR 205	VERIFY - NO QUAD MATCH (Homewood)	467
1 METROPLEX DR 400	VERIFY - NO QUAD MATCH (Homewood)	467
1 METROPLEX DR 500	VERIFY - NO QUAD MATCH (Homewood)	467
1 METROPLEX DR 550	VERIFY - NO QUAD MATCH (Homewood)	467
1 MILLCOVE LN	HOOVER_FD	487
1 MONTCREST DR	MOUNTAIN_BROOK_FD	465
1 MONTEVALLO PARK CIR [ROW]	VERIFY - NO QUAD MATCH (Mountain Brook)	465
1 MONTEVALLO PARK PL [ROW]	VERIFY - NO QUAD MATCH (Mountain Brook)	465
1 MONTROSE CIR	MOUNTAIN_BROOK_FD	465
1 NORMAN DR	MOUNTAIN_BROOK_FD	465
1 NORWOOD CIR	0907	435
1 OFFICE PARK	TRUSS_103	444
1 OFFICE PARK CIR	MOUNTAIN_BROOK_FD	465
1 OLD MONTGOMERY HWY	HOMEWOOD_FD	469
1 OPORTO MADRID BLVD N	VERIFY - NO QUAD MATCH (Birmingham)	447
1 OWEN AVE	BESSEMER_FD	487
1 PEPPER TREE APARTMENTS	VERIFY - NO QUAD MATCH (Bessemer)	487
1 PERIMETER PARK S	MUTUAL_RESP_RRFD_BFD	467
1 PINE CREST RD	MOUNTAIN_BROOK_FD	465
1 PINE RIDGE LN	MOUNTAIN_BROOK_FD	465
1 POINCIANA DR	HOMEWOOD_FD	467
1 POLARIS CIR	2908	441
1 REV ABRAHAM WOODS JR BLVD	1410	469
1 ROBERT S SMITH DR	0304	469
1 ROYAL COACH CIR	BESSEMER_FD	487
1 ROYAL TOWER DR	VERIFY - NO QUAD MATCH (Vestavia Hills)	467
1 SCHOLAR CRAFT PKWY	VERIFY - NO QUAD MATCH (Center Point)	435
1 SHADY BROOK EST	LIPSCOMB_FD	490
1 SHADY LN	MOUNTAIN_BROOK_FD	465
1 SOUTH PARK RD	VERIFY - NO QUAD MATCH (Birmingham)	469
1 STONERIVER DR	0401	469
1 SUNSET LN	2705	441
1 TAMMERA TRL	CPFD_7	439
1 THE FALLS DR	VESTAVIA_FD	469
1 TOWN AND COUNTRY CIR	CPFD_13 BIRM	439
1 TRAFALGAR SQ	CPFD_7	439
1 VINE ST	MOUNTAIN_BROOK_FD	465
1 WATERTOWN CIR	2703	447
1 WATERTOWN CIR A	VERIFY - NO QUAD MATCH (Birmingham)	447
1 WATERTOWN CIR B	VERIFY - NO QUAD MATCH (Birmingham)	447
1 WATERTOWN CIR C	VERIFY - NO QUAD MATCH (Birmingham)	447
1 WATERTOWN CIR D	VERIFY - NO QUAD MATCH (Birmingham)	447
1 WATERTOWN CIR E	VERIFY - NO QUAD MATCH (Birmingham)	447
1 WATERTOWN CIR F	VERIFY - NO QUAD MATCH (Birmingham)	447
1 WATERTOWN CIR G	VERIFY - NO QUAD MATCH (Birmingham)	447
1 WATERTOWN CIR H	VERIFY - NO QUAD MATCH (Birmingham)	447
1 WEEKS ST	ADAMSVILLE_FD	415
1 WEST LAKESHORE DR	HOMEWOOD_FD	469
1 WEST LAKESHORE DR 101	VERIFY - NO QUAD MATCH (Homewood)	469
1 WEST LAKESHORE DR 200	VERIFY - NO QUAD MATCH (Homewood)	469
1 WEST LAKESHORE DR 201	VERIFY - NO QUAD MATCH (Homewood)	469
1 WEST LAKESHORE DR 205	VERIFY - NO QUAD MATCH (Homewood)	469
1 WEST LAKESHORE DR 301	VERIFY - NO QUAD MATCH (Homewood)	469
1 WEST LAKESHORE DR T1	VERIFY - NO QUAD MATCH (Homewood)	469
1 WEST MONTCREST DR	MOUNTAIN_BROOK_FD	465
1 WEST PARK DR	0403	469
1 WESTCHESTER CT 1	VERIFY - NO QUAD MATCH (Birmingham)	446
1 WESTCHESTER CT 2	VERIFY - NO QUAD MATCH (Birmingham)	446
1 WESTCHESTER CT 3	VERIFY - NO QUAD MATCH (Birmingham)	446
1 WESTCHESTER CT 4	VERIFY - NO QUAD MATCH (Birmingham)	446
1 WESTCHESTER CT 5	VERIFY - NO QUAD MATCH (Birmingham)	446
1 WESTCHESTER CT 6	VERIFY - NO QUAD MATCH (Birmingham)	446
1 WESTCHESTER CT 7	VERIFY - NO QUAD MATCH (Birmingham)	446
1 WESTCHESTER CT 8	VERIFY - NO QUAD MATCH (Birmingham)	446
1 WILDCAT DR	TARRANT_FD	441
1 WINTHROP AVE	MOUNTAIN_BROOK_FD	465
1 WOODHILL RD T1	VERIFY - NO QUAD MATCH (Mountain Brook)	465
1 WOODWARD ESTS	LIPSCOMB_FD	490
10 11TH CT N	1411	417
10 14TH ST N	BESSEMER_FD	487
10 14TH ST S	0203	469
10 15TH AVE W	1402	417
10 16TH AVE N	1402	417
10 16TH AVE W	1402	417
10 17TH AVE S	0702	469
10 17TH CT S	0702	469
10 1ST AVE N	2101	469
10 1ST AVE SW	2106	469
10 1ST ST E	WARRIOR_FD	437
10 1ST ST N	2101	469
10 20TH CT NW	CPFD_1	436
10 20TH CT S	0702	469
10 20TH ST S	VERIFY - NO QUAD MATCH (Birmingham)	469
10 22ND AVE W	1301	417
10 26TH AVE NW	CPFD_1	446
10 2ND AVE SW	2106	469
10 2ND ST	CPFD_11 BIRM	435
10 2ND ST N	VERIFY - NO QUAD MATCH (Birmingham)	469
10 36TH AVE NE	CPFD_2	446
10 37TH AVE NE	CPFD_2	446
10 3RD AVE S	BIRMINGHAM_FD	469
10 3RD AVE SW	2106	469
10 3RD ST NW	GRAYSVILLE FD	425
10 4TH ST N	BESSEMER_FD	487
10 55TH ST S	VERIFY - NO QUAD MATCH (Birmingham)	465
10 5TH AVE S	BIRMINGHAM_FD	469
10 5TH CT S	BIRMINGHAM_FD	469
10 5TH ST	CPFD_11 BIRM	435
10 60TH ST S	VERIFY - NO QUAD MATCH (Birmingham)	465
10 67TH ST S	1207	447
10 6TH AVE S	BIRMINGHAM_FD	469
10 6TH AVE SW	2106	469
10 70TH ST S	1210	447
10 75TH ST S	1909	447
10 78TH ST N	1903	447
10 7TH ST	2101	469
10 80TH ST S	1903	447
10 8TH ST	CPFD_11 BIRM	435
10 9TH CT N	1411	469
10 9TH ST N	BESSEMER_FD	487
10 ADAM DR	CPFD_3	435
10 ALDEN LN	MOUNTAIN_BROOK_FD	465
10 ASPEN CV 103	VERIFY - NO QUAD MATCH (Homewood)	469
10 ASPEN CV 201	VERIFY - NO QUAD MATCH (Homewood)	469
10 ASPEN CV 203	VERIFY - NO QUAD MATCH (Homewood)	469
10 ASPEN CV 301	VERIFY - NO QUAD MATCH (Homewood)	469
10 ASPEN CV 303	VERIFY - NO QUAD MATCH (Homewood)	469
10 BEECHWOOD RD	MOUNTAIN_BROOK_FD	465
10 BLUEBELL ST	BESSEMER_FD	487
10 BONITA DR	HOMEWOOD_FD	467
10 BROWNING WALLS	HOMEWOOD_FD	469
10 CANDLELIGHT LN	IRONDALE_FD	465
10 CARRIAGE CIR	BESSEMER_FD	487
10 CARRIAGE HOUSE RD SW	BESSEMER_FD	487
10 CENTER ST	BESSEMER_FD	487
10 CHAPEL CREEK WAY	VERIFY - NO QUAD MATCH (Fultondale)	417
10 CHAPEL CREEK WAY U1	VERIFY - NO QUAD MATCH (Fultondale)	417
10 CHAPEL CREEK WAY U2	VERIFY - NO QUAD MATCH (Fultondale)	417
10 CHAPEL CREEK WAY U3	VERIFY - NO QUAD MATCH (Fultondale)	417
10 CHAPEL CREEK WAY U4	VERIFY - NO QUAD MATCH (Fultondale)	417
10 CHAPEL CREEK WAY U5	VERIFY - NO QUAD MATCH (Fultondale)	417
10 CHAPEL CREEK WAY U6	VERIFY - NO QUAD MATCH (Fultondale)	417
10 CHESTNUT AVE	BESSEMER_FD	487
10 CLARENDON RD	MOUNTAIN_BROOK_FD	465
10 CLOVERLEAF TRAILER PARK	ADAMSVILLE_FD	415
10 CLUB VIEW DR	MOUNTAIN_BROOK_FD	465
10 COMMERCE AVE	HUEYTOWN_FD	492
10 COUNTRY CLUB RD	MOUNTAIN_BROOK_FD	465
10 COUNTRY CLUB TER	MOUNTAIN_BROOK_FD	465
10 CRESTVIEW CIR	MOUNTAIN_BROOK_FD	465
10 CROSS CREEK DR	MOUNTAIN_BROOK_FD	465
10 CROWNE RESERVE DR	HOOVER_FD	487
10 DEXTER AVE	VERIFY - NO QUAD MATCH (Mountain Brook)	465
10 EDEN CIR	MOUNTAIN_BROOK_FD	465
10 ELM AVE	BESSEMER_FD	487
10 FREDA JANE LN	2908	441
10 GAYWOOD CIR	MOUNTAIN_BROOK_FD	465
10 GILMER INDUSTRIAL PARK	CPFD_3	435
10 GILMER INDUSTRIAL PARK A	VERIFY - NO QUAD MATCH (Center Point)	435
10 GILMER INDUSTRIAL PARK B	VERIFY - NO QUAD MATCH (Center Point)	435
10 GLEN IRIS PARK S	VERIFY - NO QUAD MATCH (Birmingham)	469
10 GREEN SPRINGS AVE S	0702	469
10 GREEN SPRINGS AVE SW	2106	469
10 GREEN SPRINGS HWY	HOMEWOOD_FD	469
10 GREENWOOD AVE	MIDFIELD_FD	490
10 GREENWOOD ST	HOMEWOOD_FD	467
10 HAVERSHAM CIR	CPFD_1	446
10 HOLLYWOOD BLVD	HOMEWOOD_FD	467
10 HONEYSUCKLE LN	MOUNTAIN_BROOK_FD	465
10 HOUSTON RD	CPFD_1	446
10 KILT CIR	HUEYTOWN_FD	492
10 MAIN ST	BESSEMER_FD	487
10 MARTIN ST	BESSEMER_FD	487
10 MEDICAL PARK DR E	2708	447
10 MEMORY LN	MOUNTAIN_BROOK_FD	465
10 MONTCREST DR	MOUNTAIN_BROOK_FD	465
10 MONTEVALLO LN	MOUNTAIN_BROOK_FD	465
10 MONTEVALLO TER	MOUNTAIN_BROOK_FD	465
10 MONTROSE CIR	MOUNTAIN_BROOK_FD	465
10 MOONGLOW DR	2908	441
10 MOSS ROCK LN	IRONDALE_FD	465
10 NORMAN DR	MOUNTAIN_BROOK_FD	465
10 NORWOOD CIR	0907	435
10 OAK PL	VERIFY - NO QUAD MATCH (Pleasant Grove)	492
10 OFFICE PARK	TRUSS_103	444
10 OFFICE PARK CIR	MOUNTAIN_BROOK_FD	465
10 PAMONA AVE	HOMEWOOD_FD	467
10 PARK RD	PLEASANT_GROVE_FD	492
10 PEACHTREE ST	MOUNTAIN_BROOK_FD	465
10 PEPPER TREE APARTMENTS	VERIFY - NO QUAD MATCH (Bessemer)	487
10 PHILLIPS DR	VERIFY - NO QUAD MATCH (Midfield)	490
10 PINE CREST RD	MOUNTAIN_BROOK_FD	465
10 PINE RIDGE LN	MOUNTAIN_BROOK_FD	465
10 POLARIS CIR	2908	441
10 PRATT HWY	1805	415
10 RIDGE DR	MOUNTAIN_BROOK_FD	465
10 RIDGE DR U1	VERIFY - NO QUAD MATCH (Mountain Brook)	465
10 ROCKDELL LN	MOUNTAIN_BROOK_FD	465
10 ROCKLEDGE RD	MOUNTAIN_BROOK_FD	465
10 ROLLO RD	BESSEMER_FD	487
10 ROYAL COACH CIR	BESSEMER_FD	487
10 ROYAL TOWER DR	VERIFY - NO QUAD MATCH (Vestavia Hills)	467
10 RUSSELL DR	ADAMSVILLE_FD	415
10 SHADE ST	BESSEMER_FD	487
10 SHADES CREST RD	HOOVER_FD	487
10 SHADY BROOK EST	LIPSCOMB_FD	490
10 STONE RIDGE TRL	IRONDALE_FD	465
10 STONEHURST GRN	MOUNTAIN_BROOK_FD	465
10 STONEVIEW TRL	IRONDALE_FD	465
10 SUNSET LN	2705	441
10 TAMMERA TRL	CPFD_7	439
10 THE FALLS DR	VESTAVIA_FD	469
10 TOWN AND COUNTRY CIR	CPFD_13 BIRM	439
10 TRAFALGAR SQ	CPFD_7	439
10 VARIN WAY	BESSEMER_FD	487
10 VILLAGE PL	VERIFY - NO QUAD MATCH (Mountain Brook)	465
10 WATERTOWN CIR	2703	447
10 WATERTOWN CIR A	VERIFY - NO QUAD MATCH (Birmingham)	447
10 WATERTOWN CIR B	VERIFY - NO QUAD MATCH (Birmingham)	447
10 WATERTOWN CIR C	VERIFY - NO QUAD MATCH (Birmingham)	447
10 WATERTOWN CIR D	VERIFY - NO QUAD MATCH (Birmingham)	447
10 WATERTOWN CIR E	VERIFY - NO QUAD MATCH (Birmingham)	447
10 WATERTOWN CIR F	VERIFY - NO QUAD MATCH (Birmingham)	447
10 WATERTOWN CIR G	VERIFY - NO QUAD MATCH (Birmingham)	447
